area_id,date,temperature_max,temperature_min,temperature_mean,RH_max,RH_min,RH_mean,wind_speed_mean,cloud_cover_mean,water_total,pressure_max,pressure_min,pressure_mean,AH_max,AH_min,AH_mean,SH_max,SH_min,SH_mean
1,2009-12-30,34.2341,18.1097,27.7556,94.5324,68.0594,84.6394,8.68313,95.7581,0.2529591,29.9861,29.2813,29.6772,4.43362,1.90934,3.45545,0.00346019,0.00146856,0.00267988
1,2010-01-06,37.0382,10.6845,24.0532428571429,89.6051,37.6431,66.9926428571429,10.3116014285714,54.7485285714286,0.187449857,30.1337,29.1777,29.6355142857143,3.02926,0.958543,2.31559714285714,0.00237665,0.000707198,0.00178721571428571
1,2010-01-13,45.6138,5.30733,25.8152285714286,87.2331,27.3483,61.3667142857143,6.82883285714286,38.6006428571429,0.0017154967,30.2686,29.8887,30.0819571428571,4.39362,0.820532,2.43026857142857,0.00344845,0.000606415,0.00186404642857143
1,2010-01-20,39.4014,15.4279,30.6320142857143,98.1333,32.8583,77.6234571428571,6.30534142857143,52.5546,1.0206629634,30.292,29.5995,29.9969857142857,5.35021,1.55595,3.59022571428571,0.00419253,0.0011773,0.00277949714285714
1,2010-01-27,53.9797,4.03033,28.5089,98.2432,32.2914,64.6526142857143,9.85311857142857,51.6010114285714,1.396645132,30.2604,29.2607,29.9069714285714,9.99734,0.605476,3.27927014285714,0.00830957,0.000439524,0.002585218
1,2010-02-03,33.7995,7.94959,23.5097428571429,91.5798,23.9174,54.1859428571429,7.35514285714286,42.9845428571429,0.030331955,30.275,29.6973,30.0769857142857,3.40656,0.814442,1.82038285714286,0.00262302,0.000600159,0.001381382
1,2010-02-10,39.3372,12.023,27.4615571428572,91.6915,27.2143,56.0171285714286,10.7584142857143,37.3762742857143,0.202975457,29.9842,29.1723,29.6398857142857,4.3996,1.21242,2.23785857142857,0.00349785,0.00090767,0.00174028857142857
1,2010-02-17,46.5866,24.6174,33.3252,95.6292,42.2449,64.6891142857143,10.5253942857143,63.8382714285714,0.356133934,29.8452,29.2965,29.5342571428571,4.453,2.18648,3.25578428571429,0.00352125,0.00170481,0.00256472285714286
1,2010-02-24,45.5761,26.1193,35.6360571428572,98.4753,41.5813,80.7100714285714,9.26396142857143,77.8289142857143,3.50566555,29.9793,28.8377,29.6710285714286,7.20952,2.50285,4.54882714285714,0.00592063,0.0019499,0.00359374285714286
1,2010-03-03,54.677,25.8009,37.0139285714286,95.2291,19.2687,65.0356714285714,9.81033428571429,69.1210757142857,0.295934849,30.0895,29.4111,29.7601142857143,4.86278,1.68675,3.68660714285714,0.0038849,0.00131022,0.00290500571428571
1,2010-03-10,57.2913,26.1117,41.2987285714286,92.7814,20.3798,58.1136142857143,7.92335285714286,40.9230514285714,1.303806297,30.2586,29.6885,30.0063714285714,6.07961,1.83713,3.86119714285714,0.00482148,0.00146472,0.00304131571428571
1,2010-03-17,69.4618,29.7094,47.3923,95.0463,20.525,58.9629857142857,9.73067142857143,37.0867,2.9390765685,30.0852,29.6084,29.8347,7.15268,2.2714,4.66531142857143,0.00574255,0.00182467,0.00374308285714286
1,2010-03-24,60.952,22.0697,41.8770714285714,97.4252,23.1864,64.7228428571429,9.29602142857143,56.5671642857143,2.206666273,30.4343,29.359,29.9275714285714,8.00718,1.17745,4.71825428571429,0.00640486,0.000891112,0.00375854714285714
1,2010-03-31,72.7908,27.1918,48.4835285714286,98.453,40.22,80.0555,8.34015571428571,61.3696842857143,4.2083212671,30.4221,29.4648,29.9815,9.61647,2.84452,7.10668571428572,0.00781695,0.00216092,0.00571203428571429
1,2010-04-07,85.8598,38.4422,56.1692428571429,98.156,23.6381,61.7903285714286,7.80751142857143,49.2313,0.5374488988,30.1658,29.5517,29.8658428571429,10.3457,2.82296,6.86612142857143,0.00867037,0.00226832,0.00562042714285714
1,2010-04-14,67.2416,33.5965,47.8572,95.5147,15.174,56.5003428571429,6.85074428571429,45.8097114285714,0.5248098956817,30.5238,29.7022,30.1850428571429,6.45701,2.18103,4.51045428571429,0.00514433,0.00176592,0.00357527142857143
1,2010-04-21,68.7136,36.3872,51.8865857142857,93.2316,22.7912,58.9311714285714,7.05338857142857,42.6346285714286,0.136394184,30.0871,29.6123,29.8330142857143,8.77046,3.35238,5.56768142857143,0.00720748,0.00274853,0.00450923428571429
1,2010-04-28,78.2081,33.9522,52.1608428571429,94.3071,17.2141,59.0278142857143,8.06304571428572,58.6006142857143,0.4742651279,29.8674,29.2545,29.5724857142857,8.99393,2.12966,5.65483,0.00745393,0.00174432,0.00462761571428571
