01,4,AL,Alabama
02,10,AK,Alaska
04,9,AZ,Arizona
05,6,AR,Arkansas
06,9,CA,California
08,8,CO,Colorado
09,1,CT,Connecticut
10,3,DE,Delaware
11,3,DC,District of Columbia
12,4,FL,Florida
13,4,GA,Georgia
15,9,HI,Hawaii
16,10,ID,Idaho
17,5,IL,Illinois
18,5,IN,Indiana
19,7,IA,Iowa
20,7,KS,Kansas
21,4,KY,Kentucky
22,6,LA,Louisiana
23,1,ME,Maine
24,3,MD,Maryland
25,1,MA,Massachusetts
26,5,MI,Michigan
27,5,MN,Minnesota
28,4,MS,Mississippi
29,7,MO,Missouri
30,8,MT,Montana
31,7,NE,Nebraska
32,9,NV,Nevada
33,1,NH,New Hampshire
34,2,NJ,New Jersey
35,6,NM,New Mexico
36,2,NY,New York
37,4,NC,North Carolina
38,8,ND,North Dakota
39,5,OH,Ohio
40,6,OK,Oklahoma
41,10,OR,Oregon
42,3,PA,Pennsylvania
44,1,RI,Rhode Island
45,4,SC,South Carolina
46,8,SD,South Dakota
47,4,TN,Tennessee
48,6,TX,Texas
49,8,UT,Utah
50,1,VT,Vermont
51,3,VA,Virginia
53,10,WA,Washington
54,3,WV,West Virginia
55,5,WI,Wisconsin
56,8,WY,Wyoming
72,2,PR,Puerto Rico
