,Unnamed: 0,Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
0,0,US National,Season onset,Bin,week,none,none,0.029411765
1,1,US National,Season onset,Bin,week,40,41,0.029411765
2,2,US National,Season onset,Bin,week,41,42,0.029411765
3,3,US National,Season onset,Bin,week,42,43,0.029411765
4,4,US National,Season onset,Bin,week,43,44,0.029411765
5,5,US National,Season onset,Bin,week,44,45,0.029411765
6,6,US National,Season onset,Bin,week,45,46,0.029411765
7,7,US National,Season onset,Bin,week,46,47,0.029411765
8,8,US National,Season onset,Bin,week,47,48,0.029411765
9,9,US National,Season onset,Bin,week,48,49,0.029411765
10,10,US National,Season onset,Bin,week,49,50,0.029411765
11,11,US National,Season onset,Bin,week,50,51,0.029411765
12,12,US National,Season onset,Bin,week,51,52,0.029411765
13,13,US National,Season onset,Bin,week,52,53,0.029411765
14,14,US National,Season onset,Bin,week,1,2,0.0765
15,15,US National,Season onset,Bin,week,2,3,0.0765
16,16,US National,Season onset,Bin,week,3,4,0.0765
17,17,US National,Season onset,Bin,week,4,5,0.0765
18,18,US National,Season onset,Bin,week,5,6,0.0765
19,19,US National,Season onset,Bin,week,6,7,0.0765
20,20,US National,Season onset,Bin,week,7,8,0.0765
21,21,US National,Season onset,Bin,week,8,9,0.0765
22,22,US National,Season onset,Bin,week,9,10,0.0765
23,23,US National,Season onset,Bin,week,10,11,0.0765
24,24,US National,Season onset,Bin,week,11,12,0.0765
25,25,US National,Season onset,Bin,week,12,13,0.0765
26,26,US National,Season onset,Bin,week,13,14,0.0765
27,27,US National,Season onset,Bin,week,14,15,0.0765
28,28,US National,Season onset,Bin,week,15,16,0.0765
29,29,US National,Season onset,Bin,week,16,17,0.0765
30,30,US National,Season onset,Bin,week,17,18,0.0765
31,31,US National,Season onset,Bin,week,18,19,0.0765
32,32,US National,Season onset,Bin,week,19,20,0.0765
33,33,US National,Season onset,Bin,week,20,21,0.0765
34,34,US National,Season peak week,Bin,week,40,41,0.03030303
35,35,US National,Season peak week,Bin,week,41,42,0.03030303
36,36,US National,Season peak week,Bin,week,42,43,0.03030303
37,37,US National,Season peak week,Bin,week,43,44,0.03030303
38,38,US National,Season peak week,Bin,week,44,45,0.03030303
39,39,US National,Season peak week,Bin,week,45,46,0.03030303
40,40,US National,Season peak week,Bin,week,46,47,0.03030303
41,41,US National,Season peak week,Bin,week,47,48,0.03030303
42,42,US National,Season peak week,Bin,week,48,49,0.03030303
43,43,US National,Season peak week,Bin,week,49,50,0.03030303
44,44,US National,Season peak week,Bin,week,50,51,0.03030303
45,45,US National,Season peak week,Bin,week,51,52,0.03030303
46,46,US National,Season peak week,Bin,week,52,53,0.03030303
47,47,US National,Season peak week,Bin,week,1,2,0.03030303
48,48,US National,Season peak week,Bin,week,2,3,0.03030303
49,49,US National,Season peak week,Bin,week,3,4,0.03030303
50,50,US National,Season peak week,Bin,week,4,5,0.03030303
51,51,US National,Season peak week,Bin,week,5,6,0.03030303
52,52,US National,Season peak week,Bin,week,6,7,0.03030303
53,53,US National,Season peak week,Bin,week,7,8,0.03030303
54,54,US National,Season peak week,Bin,week,8,9,0.03030303
55,55,US National,Season peak week,Bin,week,9,10,0.03030303
56,56,US National,Season peak week,Bin,week,10,11,0.03030303
57,57,US National,Season peak week,Bin,week,11,12,0.03030303
58,58,US National,Season peak week,Bin,week,12,13,0.03030303
